Source Location (kilometers) : (0, 0, 3).
Receiver Location (kilometers) : (223.336, 4.1487, 0).
theta = 9.95436, phi = 89.9995,  c0(zground) = 0.33676 km/s
# x [km]	y [km]	z [km]	Geo. Atten. [dB]	Atmo. Atten. [dB]	Travel Time [s]	  rho  	   c [km/s]  	   u [km/s]  	   v [km/s]  	   w [km/s]  	Slowness_x [s/km]	Slowness_y [s/km]	Slowness_z [s/km]	Jacobian [km^2/rad^2]
148.538	2.70883	32.5381	-79.1352	-0.0266043	476.983	1.26016e-05	0.306491	0.0210787	0.00656357	0	2.83123	0.019978	-1.25257	-5904.32
149.691	2.74216	32.0575	-78.8955	-0.0267476	480.824	1.35569e-05	0.305773	0.0205751	0.00684814	0	2.83115	0.0197039	-1.28365	-6013.4
150.84	2.77624	31.5655	-78.6542	-0.0268736	484.682	1.46133e-05	0.30504	0.0198584	0.00694746	0	2.83108	0.0194211	-1.31914	-6142.25
151.983	2.81024	31.0606	-78.4094	-0.0269836	488.559	1.57854e-05	0.304285	0.0189395	0.00679981	0	2.83102	0.0191371	-1.3587	-6289.19
153.119	2.84318	30.5416	-78.1564	-0.0270789	492.457	1.70935e-05	0.303513	0.0178483	0.00639541	0	2.83097	0.018861	-1.40139	-6449.99
154.249	2.87409	30.0074	-77.8936	-0.0271608	496.379	1.8561e-05	0.302701	0.0166185	0.00574344	0	2.83094	0.0185963	-1.44688	-6622.72
155.371	2.90204	29.4573	-77.617	-0.0272323	500.327	2.02159e-05	0.301855	0.0152816	0.00488762	0	2.83092	0.0183495	-1.49424	-6802.84
156.485	2.92631	28.8907	-77.3267	-0.0272964	504.304	2.20914e-05	0.300933	0.0138767	0.00388571	0	2.83091	0.0181282	-1.5436	-6989.76
157.59	2.94643	28.3075	-77.0167	-0.027354	508.309	2.42283e-05	0.299984	0.0124489	0.00281069	0	2.83091	0.0179336	-1.59295	-7175.49
158.687	2.96223	27.7078	-76.6889	-0.0274062	512.345	2.66734e-05	0.298949	0.0110507	0.0017511	0	2.83092	0.0177694	-1.64265	-7360.16
159.775	2.97391	27.0921	-76.3396	-0.0274538	516.411	2.94836e-05	0.297855	0.0097442	0.000811389	0	2.83093	0.0176375	-1.691	-7536.74
160.854	2.98216	26.4613	-75.9671	-0.0274976	520.508	3.27218e-05	0.29672	0.00859159	9.50673e-05	0	2.83095	0.0175347	-1.73664	-7699.43
161.925	2.98793	25.8168	-75.5743	-0.027538	524.633	3.64391e-05	0.295549	0.00763999	-0.000369613	0	2.83097	0.0174624	-1.7788	-7844.91
162.989	2.99218	25.1606	-75.1607	-0.0275758	528.783	4.06728e-05	0.294447	0.00693227	-0.000632655	0	2.831	0.0174166	-1.81472	-7963.97
164.047	2.99546	24.4948	-74.733	-0.0276114	532.956	4.54356e-05	0.293432	0.00651018	-0.000838067	0	2.83103	0.0174054	-1.84346	-8054.28
165.101	2.99771	23.8225	-74.293	-0.0276453	537.145	5.07276e-05	0.292593	0.00641969	-0.00113131	0	2.83105	0.017436	-1.86257	-8107.08
